Comment,Designator,Footprint,LCSC,Quantity
10uf,C4,C_0805_2012Metric,,1
SN74AVC4T245PW,U1,TSSOP-16_4.4x5mm_P0.65mm,,1
GREEN_LED,D3,LED_0603_1608Metric,,1
10uf,C5,C_0805_2012Metric,,1
RED_LED,D1,LED_0603_1608Metric,,1
LT1963AxST-3.3,U3,SOT-223-3_TabPin2,,1
RED_LED,D2,LED_0603_1608Metric,,1
10uf,C6,C_0805_2012Metric,,1
LT1963AxST-1.5,U2,SOT-223-3_TabPin2,,1
2k,R3,R_0201_0603Metric,,1
22,R4,R_0201_0603Metric,,1
2k,R2,R_0201_0603Metric,,1
0.1uf,C2,C_0805_2012Metric,,1
10uf,C3,C_0805_2012Metric,,1
2k,R1,R_0201_0603Metric,,1
3v3_io,J14,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,,1
0.1uf,C1,C_0805_2012Metric,,1
1v5_io,J1,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,,1
TestPoint,3v3,TestPoint_Pad_D1.0mm,,1
TestPoint,1v5,TestPoint_Pad_D1.0mm,,1
22,R9,R_0201_0603Metric,,1
22,R17,R_0201_0603Metric,,1
22,R12,R_0201_0603Metric,,1
22,R16,R_0201_0603Metric,,1
22,R5,R_0201_0603Metric,,1
22,R8,R_0201_0603Metric,,1
22,R10,R_0201_0603Metric,,1
22,R14,R_0201_0603Metric,,1
22,R13,R_0201_0603Metric,,1
22,R6,R_0201_0603Metric,,1
TestPoint,GND1,TestPoint_Pad_D1.0mm,,1
0.1uf,C8,C_0805_2012Metric,,1
TestPoint,5vA1,TestPoint_Pad_D1.0mm,,1
22,R7,R_0201_0603Metric,,1
0.1uf,C7,C_0805_2012Metric,,1
TestPoint,5vB1,TestPoint_Pad_D1.0mm,,1
22,R11,R_0201_0603Metric,,1
22,R18,R_0201_0603Metric,,1
22,R19,R_0201_0603Metric,,1
SN74AVC4T245PW,U5,TSSOP-16_4.4x5mm_P0.65mm,,1
22,R15,R_0201_0603Metric,,1
