Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0805_2012Metric,196.118,-76.9,180.0,top
C2,0.1uf,C_0805_2012Metric,184.318,-76.9,0.0,top
C3,10uf,C_0805_2012Metric,200.6,-86.0,-90.0,top
C4,10uf,C_0805_2012Metric,179.5,-82.3,90.0,top
C5,10uf,C_0805_2012Metric,200.6,-82.55,90.0,top
C6,10uf,C_0805_2012Metric,179.5,-86.0,-90.0,top
C7,0.1uf,C_0805_2012Metric,184.318,-63.4,0.0,top
C8,0.1uf,C_0805_2012Metric,196.118,-63.4,180.0,top
D1,RED_LED,LED_0603_1608Metric,176.6125,-63.0,180.0,top
D2,RED_LED,LED_0603_1608Metric,202.0,-63.0,0.0,top
D3,GREEN_LED,LED_0603_1608Metric,174.9,-87.0,0.0,top
J1,1v5_io,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,203.05,-69.802761,90.0,top
J14,3v3_io,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,177.15,-69.802761,-90.0,top
R1,2k,R_0201_0603Metric,174.0,-63.0,0.0,top
R10,22,R_0201_0603Metric,196.77,-67.75,180.0,top
R11,22,R_0201_0603Metric,196.77,-66.85,180.0,top
R12,22,R_0201_0603Metric,183.523,-72.6,180.0,top
R13,22,R_0201_0603Metric,183.523,-71.7,180.0,top
R14,22,R_0201_0603Metric,183.523,-70.8,180.0,top
R15,22,R_0201_0603Metric,183.523,-69.9,180.0,top
R16,22,R_0201_0603Metric,183.523,-69.0,180.0,top
R17,22,R_0201_0603Metric,183.523,-68.1,180.0,top
R18,22,R_0201_0603Metric,183.523,-67.2,180.0,top
R19,22,R_0201_0603Metric,183.523,-66.3,180.0,top
R2,2k,R_0201_0603Metric,205.5,-63.0,180.0,top
R3,2k,R_0201_0603Metric,177.42,-87.0,180.0,top
R4,22,R_0201_0603Metric,196.77,-73.15,180.0,top
R5,22,R_0201_0603Metric,196.77,-72.25,180.0,top
R6,22,R_0201_0603Metric,196.77,-71.35,180.0,top
R7,22,R_0201_0603Metric,196.77,-70.45,180.0,top
R8,22,R_0201_0603Metric,196.77,-69.55,180.0,top
R9,22,R_0201_0603Metric,196.77,-68.65,180.0,top
U1,SN74AVC4T245PW,TSSOP-16_4.4x5mm_P0.65mm,190.1305,-67.025,180.0,top
U2,LT1963AxST-1.5,SOT-223-3_TabPin2,194.75,-83.8,180.0,top
U3,LT1963AxST-3.3,SOT-223-3_TabPin2,185.6,-83.8,0.0,top
U5,SN74AVC4T245PW,TSSOP-16_4.4x5mm_P0.65mm,190.1305,-72.9,180.0,top
